Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
9.06,102.4,Dawson Knox,Dawson,Knox,BUF,TE,,,,102,,,Dawson Knox BUF TE,TE10
9.07,102.9,Miles Sanders,Miles,Sanders,PHI,RB,,,,103,,,Miles Sanders PHI RB,RB29
9.08,104.3,Davis Mills,Davis,Mills,HOU,QB,,,,104,,,Davis Mills HOU QB,QB24
9.09,104.9,Gabriel Davis,Gabriel,Davis,BUF,WR,,,,105,,,Gabriel Davis BUF WR,WR42
9.09,104.9,Allen Robinson,Allen,Robinson,LAR,WR,,,,106,,,Allen Robinson LAR WR,WR43
9.10,105.5,Hunter Renfrow,Hunter,Renfrow,LV,WR,,,,107,,,Hunter Renfrow LV WR,WR44
9.10,106.1,Jahan Dotson,Jahan,Dotson,WAS,WR,,,,108,,,Jahan Dotson WAS WR,WR45
9.12,107.8,Damien Harris,Damien,Harris,NE,RB,,,,109,,,Damien Harris NE RB,RB30
10.01,109.0,Chase Claypool,Chase,Claypool,PIT,WR,,,,110,,,Chase Claypool PIT WR,WR46
10.03,110.8,Brandin Cooks,Brandin,Cooks,HOU,WR,,,,111,,,Brandin Cooks HOU WR,WR47
10.03,111.5,Tony Pollard,Tony,Pollard,DAL,RB,,,,112,,,Tony Pollard DAL RB,RB31
10.06,114.3,Kadarius Toney,Kadarius,Toney,NYG,WR,,,,113,,,Kadarius Toney NYG WR,WR48
10.07,115.2,Jameis Winston,Jameis,Winston,NO,QB,,,,114,,,Jameis Winston NO QB,QB25
10.09,117.2,Malik Willis,Malik,Willis,TEN,QB,,,,115,,,Malik Willis TEN QB,QB26
10.09,117.4,Kareem Hunt,Kareem,Hunt,CLE,RB,,,,116,,,Kareem Hunt CLE RB,RB32
10.10,117.8,Rachaad White,Rachaad,White,TB,RB,,,,117,,,Rachaad White TB RB,RB33
10.11,119.2,Dameon Pierce,Dameon,Pierce,HOU,RB,,,,118,,,Dameon Pierce HOU RB,RB34
10.12,120.0,Mike Gesicki,Mike,Gesicki,MIA,TE,,,,119,,,Mike Gesicki MIA TE,TE11
11.01,120.7,Desmond Ridder,Desmond,Ridder,ATL,QB,,,,120,,,Desmond Ridder ATL QB,QB27
11.03,123.3,Cole Kmet,Cole,Kmet,CHI,TE,,,,121,,,Cole Kmet CHI TE,TE12
11.03,123.3,Michael Carter,Michael,Carter,NYJ,RB,,,,122,,,Michael Carter NYJ RB,RB35
11.03,123.3,Noah Fant,Noah,Fant,SEA,TE,,,,123,,,Noah Fant SEA TE,TE13
11.04,123.8,Matt Ryan,Matt,Ryan,IND,QB,,,,124,,,Matt Ryan IND QB,QB28
11.06,125.6,David Bell,David,Bell,CLE,WR,,,,125,,,David Bell CLE WR,WR49
11.06,125.9,Carson Wentz,Carson,Wentz,WAS,QB,,,,126,,,Carson Wentz WAS QB,QB29
11.06,126.1,Christian Kirk,Christian,Kirk,JAX,WR,,,,127,,,Christian Kirk JAX WR,WR50
11.09,128.9,Michael Gallup,Michael,Gallup,DAL,WR,,,,128,,,Michael Gallup DAL WR,WR51
11.09,129.2,Isaiah Spiller,Isaiah,Spiller,LAC,RB,,,,129,,,Isaiah Spiller LAC RB,RB36
